檔案名稱,編號,漢字,拼音,詞性,英文定義
B1-L01.pptx,I-1,陳月美,Chén Yuèměi,,a woman from Vietnam
B1-L01.pptx,I-2,李明華,Lǐ	Mínghuá,,a man from Taiwan
B1-L01.pptx,I-3,王開文,Wáng	Kāiwén,,a man from the US
B1-L01.pptx,I-4,你,nǐ,N,you
B1-L01.pptx,I-5,來,lái,V,to come
B1-L01.pptx,I-6,是,shì,Vst,to be
B1-L01.pptx,I-7,小姐,xiǎojiě,N,"Miss, Ms."
B1-L01.pptx,I-8,嗎,,Ptc,ma; sentence final particle
B1-L01.pptx,I-9,接,jiē,V,to pick sb up
B1-L01.pptx,I-10,我們,wǒmen,N,"we, us"
B1-L01.pptx,I-11,我,wǒ,N,"I, me"
B1-L01.pptx,I-12,這,zhè,Det,this
B1-L01.pptx,I-13,先生,xiānshēng,N,Mr.
B1-L01.pptx,I-14,好,hǎo,Vs,"fine, well"
B1-L01.pptx,I-15,姓,xìng,Vst,to be surnamed
B1-L01.pptx,I-16,叫,jiào,Vst,"to be called, i.e., to have the first; name xx"
B1-L01.pptx,I-17,你們,nǐmen,N,you
B1-L01.pptx,I-18,臺灣,Táiwān,,臺灣（＝台灣）; Taiwan
B1-L01.pptx,I-19,歡迎,huānyíng,,welcome
B1-L01.pptx,I-20,請問,qǐngwèn,,"May I ask you…; Excuse me, …"
B1-L01.pptx,I-21,是的,shìde,,yes
B1-L01.pptx,I-22,謝謝,xièxie,,Thank you.
B1-L01.pptx,I-23,不客氣,búkèqì,,You’re welcome.
B1-L01.pptx,I-24,你好,Nǐ	hǎo,,How are you?; Hello.
B1-L01.pptx,II-1,請,qǐng,V,please
B1-L01.pptx,II-2,喝,hē,V,to drink
B1-L01.pptx,II-3,茶,chá,N,tea
B1-L01.pptx,II-4,很,hěn,Adv,very
B1-L01.pptx,II-5,好喝,hǎohē,Vs,(lit. good to drink) to taste good
B1-L01.pptx,II-6,什麼,shénme,N,what
B1-L01.pptx,II-7,人,rén,N,"person, people"
B1-L01.pptx,II-8,喜歡,xǐhuān,Vst,to like
B1-L01.pptx,II-9,呢,,Ptc,ne; sentence final particle
B1-L01.pptx,II-10,他,tā,N,"he, him"
B1-L01.pptx,II-11,不,bù,Adv,not
B1-L01.pptx,II-12,哪,nǎ,Det,which
B1-L01.pptx,II-13,要,yào,Vaux,to want to
B1-L01.pptx,II-14,咖啡,kāfēi,N,coffee
B1-L01.pptx,II-15,烏龍茶,Wūlóngchá,,Oolong tea
B1-L01.pptx,II-16,日本,Rìběn,,Japan
B1-L01.pptx,II-17,美國,Měiguó,,America
B1-L01.pptx,II-18,對不起,duìbùqǐ,,I am sorry.
B1-L01.pptx,II-19,哪國,nǎguó,,Which country?
B1-L02.pptx,I-1,張怡君,Zhāng Yíjūn,,a woman from Taiwan
B1-L02.pptx,I-2,馬安同,Mǎ	āntóng,,a man from the Republic of Honduras
B1-L02.pptx,I-3,的,,,de; (Ptc ) modification marker
B1-L02.pptx,I-4,家人,jiārén,N,family
B1-L02.pptx,I-5,家,jiā,N,"home, house"
B1-L02.pptx,I-6,漂亮,piàoliàng,Vs,pretty
B1-L02.pptx,I-7,房子,fángzi,N,house
B1-L02.pptx,I-8,坐,zuò,Vi,to sit
B1-L02.pptx,I-9,好,hǎo,Ptc,OK
B1-L02.pptx,I-10,有,yǒu,Vst,to have
B1-L02.pptx,I-11,多,duō,,(Vs-pred) many
B1-L02.pptx,I-12,照片,zhàopiàn,N,photo
B1-L02.pptx,I-13,都,dōu,Adv,"all, both"
B1-L02.pptx,I-14,照相,zhàoxiàng,,(V-sep) to take a photo
B1-L02.pptx,I-15,張,zhāng,M,"measure word for flat objects (e.g.,; paper, tickets)"
B1-L02.pptx,I-16,好看,hǎokàn,Vs,good-looking
B1-L02.pptx,I-17,誰,shéi,N,who
B1-L02.pptx,I-18,姐姐,jiějie,N,older sister
B1-L02.pptx,I-19,妹妹,mèimei,N,younger sister
B1-L02.pptx,I-20,爸爸,bàba,N,dad
B1-L02.pptx,I-21,媽媽,māma,N,mom
B1-L02.pptx,I-22,請,qǐng	jìn,,請	進; Please come in!
B1-L02.pptx,II-1,田中誠一,Tiánzhōng	Chéngyī,male,(a Japanese name )
B1-L02.pptx,II-2,伯母,bómǔ,N,aunt; here a polite term for a; friends’ mothers regardless of age
B1-L02.pptx,II-3,您,nín,N,you
B1-L02.pptx,II-4,名字,Míngzi,N,name
B1-L02.pptx,II-5,書,shū,N,book
B1-L02.pptx,II-6,哥哥,gēge,N,older brother
B1-L02.pptx,II-7,老師,lǎoshī,N,teacher
B1-L02.pptx,II-8,看書,kànshū,,(V-sep) to read
B1-L02.pptx,II-9,幾,jǐ,N,how many
B1-L02.pptx,II-10,個,,M,ge; general measure word
B1-L02.pptx,II-11,沒,méi,Adv,not
B1-L02.pptx,II-12,兄弟,xiōngdì,N,brothers
B1-L02.pptx,II-13,姐妹,jiěmèi,N,sisters
B1-L02.pptx,II-14,五,wǔ,N,five
B1-L02.pptx,II-15,兩,liǎng,N,two
B1-L03.pptx,I-1,週末,zhōumò,N,weekend
B1-L03.pptx,I-2,聽,tīng,V,to listen
B1-L03.pptx,I-3,音樂,yīnyuè,N,music
B1-L03.pptx,I-4,運動,yùndòng,Vi,to exercise
B1-L03.pptx,I-5,打,dǎ,V,to play (ball games)
B1-L03.pptx,I-6,網球,wǎngqiú,N,tennis
B1-L03.pptx,I-7,棒球,bàngqiú,N,baseball
B1-L03.pptx,I-8,和,hàn,Conj,"and, as well as"
B1-L03.pptx,I-9,游泳,yóuyǒng,,(V-sep) to swim
B1-L03.pptx,I-10,常,cháng,Adv,often
B1-L03.pptx,I-11,籃球,lánqiú,N,basketball
B1-L03.pptx,I-12,也,yě,Adv,also
B1-L03.pptx,I-13,踢,tī,V,to kick
B1-L03.pptx,I-14,足球,zúqiú,N,soccer
B1-L03.pptx,I-15,覺得,juéde,Vst,"to feel, to think"
B1-L03.pptx,I-16,好玩,hǎowán,Vs,"Interesting, fun"
B1-L03.pptx,I-17,明天,míngtiān,N,tomorrow
B1-L03.pptx,I-18,早上,zǎoshàng,N,morning
B1-L03.pptx,I-19,去,qù,V,to go
B1-L03.pptx,I-20,怎麼樣,zěnmeyàng,Vs,How about it?; How does that sounds?; What do you think?
B1-L03.pptx,I-21,啊,,Ptc,a; sentence-final particle
B1-L03.pptx,I-22,做什麼,zuò	shénme,,do what
B1-L03.pptx,I-23,好啊,hǎoa,,OK
B1-L03.pptx,II-1,白如玉,Bái	Rúyù,,a woman from the US
B1-L03.pptx,II-2,今天,jīntiān,N,today
B1-L03.pptx,II-3,晚上,wǎnshàng,N,"evening, night"
B1-L03.pptx,II-4,看,kàn,V,"to see, to watch"
B1-L03.pptx,II-5,電影,diànyǐng,N,movie
B1-L03.pptx,II-6,妳,nǐ,N,you
B1-L03.pptx,II-7,想,xiǎng,Vaux,"to want, to think"
B1-L03.pptx,II-8,還是,háishì,Conj,or (used in a question)
B1-L03.pptx,II-9,吧,,Ptc,ba; sentence-final particle for suggestion
B1-L03.pptx,II-10,可以,kěyǐ,Vaux,could
B1-L03.pptx,II-11,學,xué,V,"to learn, to study"
B1-L03.pptx,II-12,中文,Zhōngwén,N,Chinese language
B1-L03.pptx,II-13,一起,yìqǐ,Adv,together
B1-L03.pptx,II-14,吃,chī,V,to eat
B1-L03.pptx,II-15,晚飯,wǎnfàn,N,dinner
B1-L03.pptx,II-16,菜,cài,N,cuisine
B1-L03.pptx,II-17,越南,Yuènán,,Vietnam
B1-L03.pptx,II-18,好不好,hǎobùhǎo,,How about…?; How does that sound?
B1-L04.pptx,I-1,一共,yígòng,Adv,altogether
B1-L04.pptx,I-2,多少,duōshǎo,N,"how much, how many"
B1-L04.pptx,I-3,錢,qián,N,money
B1-L04.pptx,I-4,老闆,lǎobǎn,N,"store-owner, boss"
B1-L04.pptx,I-5,買,mǎi,V,to buy
B1-L04.pptx,I-6,杯,bēi,M,cup
B1-L04.pptx,I-7,熱,rè,Vs,hot
B1-L04.pptx,I-8,包子,bāozi,N,steamed buns with meat stuffing filling
B1-L04.pptx,I-9,要,yào,V,"to want, to need"
B1-L04.pptx,I-10,大,dà,Vs,large
B1-L04.pptx,I-11,中,zhōng,,(Vs-attr) medium
B1-L04.pptx,I-12,小,xiǎo,Vs,small
B1-L04.pptx,I-13,幫,bāng,Prep,for
B1-L04.pptx,I-14,微波,wéibō,V,to microwave
B1-L04.pptx,I-15,百,bǎi,N,hundred
B1-L04.pptx,I-16,塊,kuài,M,measure word for Chinese money
B1-L04.pptx,I-17,好的,hǎode,,OK
B1-L04.pptx,I-18,外帶,wàidài,,"take out, to go"
B1-L04.pptx,I-19,內用,nèiyòng,,for here
B1-L04.pptx,II-1,支,zhī,M,measure word for cell phones
B1-L04.pptx,II-2,新,xīn,Vs,new
B1-L04.pptx,II-3,手機,shǒujī,N,cell phone
B1-L04.pptx,II-4,太,tài,Adv,too
B1-L04.pptx,II-5,舊,jiù,Vs,old
B1-L04.pptx,II-6,了,,Ptc,le; sentence-final particle indicating the speaker's sense of certainty
